team,wins,losses,win_pct,ppg,opp_ppg,point_diff
West Virginia Mountaineers,37,49,0.43023255813953487,69.66279069767442,70.90697674418605,-1.244186046511628
Grand Canyon Lopes,17,10,0.6296296296296297,74.14814814814815,68.92592592592592,5.222222222222222
Oakland Golden Grizzlies,9,20,0.3103448275862069,69.37931034482759,78.93103448275862,-9.551724137931034
Minnesota Golden Gophers,13,39,0.25,65.88461538461539,73.0576923076923,-7.173076923076923
Northwestern Wildcats,17,43,0.2833333333333333,67.41666666666667,74.2,-6.783333333333333
San Diego State Aztecs,74,23,0.7628865979381443,71.24742268041237,63.50515463917526,7.742268041237113
Cincinnati Bearcats,21,29,0.42,66.8,66.8,0.0
Youngstown State Penguins,7,6,0.5384615384615384,77.46153846153847,74.38461538461539,3.076923076923077
UTEP Miners,4,11,0.26666666666666666,64.6,69.66666666666667,-5.066666666666666
Hawai'i Rainbow Warriors,7,7,0.5,65.28571428571429,69.78571428571429,-4.5
Mount St. Mary's Mountaineers,7,10,0.4117647058823529,62.76470588235294,69.29411764705883,-6.529411764705882
Loyola Maryland Greyhounds,4,4,0.5,68.125,74.25,-6.125
Stanford Cardinal,12,25,0.32432432432432434,68.48648648648648,74.67567567567568,-6.1891891891891895
Wichita State Shockers,9,22,0.2903225806451613,67.58064516129032,73.16129032258064,-5.580645161290323
Portland Pilots,6,12,0.3333333333333333,72.22222222222223,78.5,-6.277777777777778
La Salle Explorers,4,10,0.2857142857142857,65.42857142857143,73.78571428571429,-8.357142857142858
Utah Utes,6,25,0.1935483870967742,68.51612903225806,79.25806451612904,-10.741935483870968
Mississippi State Bulldogs,28,41,0.4057971014492754,70.65217391304348,72.79710144927536,-2.1449275362318843
Oklahoma State Cowboys,24,41,0.36923076923076925,67.52307692307693,73.84615384615384,-6.323076923076923
Georgia Tech Yellow Jackets,16,21,0.43243243243243246,66.45945945945945,69.51351351351352,-3.054054054054054
Wyoming Cowboys,8,17,0.32,69.88,74.36,-4.48
Wake Forest Demon Deacons,9,28,0.24324324324324326,70.0,75.75675675675676,-5.756756756756757
Providence Friars,39,37,0.5131578947368421,70.42105263157895,71.21052631578948,-0.7894736842105263
Loyola Marymount Lions,5,12,0.29411764705882354,66.23529411764706,78.41176470588235,-12.176470588235293
Notre Dame Fighting Irish,10,26,0.2777777777777778,67.58333333333333,73.11111111111111,-5.527777777777778
South Florida Bulls,9,18,0.3333333333333333,67.14814814814815,73.4074074074074,-6.2592592592592595
Southern Jaguars,8,13,0.38095238095238093,67.28571428571429,71.76190476190476,-4.476190476190476
Cornell Big Red,7,12,0.3684210526315789,72.0,75.05263157894737,-3.0526315789473686
Maryland Eastern Shore Hawks,5,14,0.2631578947368421,60.10526315789474,73.3157894736842,-13.210526315789474
Howard Bison,7,11,0.3888888888888889,74.5,78.0,-3.5
Delaware State Hornets,4,11,0.26666666666666666,69.86666666666666,82.0,-12.133333333333333
Bethune-Cookman Wildcats,2,11,0.15384615384615385,63.84615384615385,80.76923076923077,-16.923076923076923
Florida A&M Rattlers,3,11,0.21428571428571427,61.57142857142857,75.78571428571429,-14.214285714285714
Alabama State Hornets,2,16,0.1111111111111111,60.55555555555556,75.72222222222223,-15.166666666666666
Alabama A&M Bulldogs,4,7,0.36363636363636365,66.45454545454545,71.54545454545455,-5.090909090909091
Montana Grizzlies,9,11,0.45,71.4,73.65,-2.25
Oklahoma Sooners,41,54,0.43157894736842106,71.15789473684211,71.45263157894736,-0.29473684210526313
Pittsburgh Panthers,12,22,0.35294117647058826,67.55882352941177,73.8529411764706,-6.294117647058823
Kansas State Wildcats,32,45,0.4155844155844156,69.81818181818181,74.0,-4.181818181818182
Alabama Crimson Tide,104,44,0.7027027027027027,84.60810810810811,76.44594594594595,8.162162162162161
South Carolina Gamecocks,15,39,0.2777777777777778,68.12962962962963,77.53703703703704,-9.407407407407407
Georgetown Hoyas,11,36,0.23404255319148937,68.1063829787234,76.08510638297872,-7.9787234042553195
Arizona State Sun Devils,16,31,0.3404255319148936,70.04255319148936,76.7872340425532,-6.74468085106383
