game_id,gameday,home_team,away_team,home_win,point_diff,home_rolling_ppg,home_rolling_papg,home_rolling_diff,away_rolling_ppg,away_rolling_papg,away_rolling_diff,ppg_differential,papg_differential,overall_differential,home_advantage,week,is_divisional,spread_line,home_moneyline,away_moneyline
2019_06_PIT_LAC,2019-10-13,LAC,PIT,0,-7.0,20.6,18.8,1.8000000000000007,19.8,22.8,-3.0,0.8000000000000007,-4.0,4.800000000000001,1,6,0,6.0,-252.0,220.0
2019_06_DAL_NYJ,2019-10-13,NYJ,DAL,1,2.0,9.75,25.25,-15.5,26.2,18.0,8.2,-16.45,7.25,-23.7,1,6,0,-7.0,270.0,-316.0
2019_06_TEN_DEN,2019-10-13,DEN,TEN,1,16.0,18.0,21.2,-3.1999999999999993,19.6,15.2,4.400000000000002,-1.6000000000000014,6.0,-7.600000000000001,1,6,0,1.0,-121.0,109.0
2019_06_SF_LA,2019-10-13,LA,SF,0,-13.0,29.2,26.8,2.3999999999999986,31.75,14.25,17.5,-2.5500000000000007,12.55,-15.100000000000001,1,6,1,3.0,-148.0,133.0
2019_06_ATL_ARI,2019-10-13,ARI,ATL,1,1.0,20.0,27.6,-7.600000000000001,20.4,30.4,-10.0,-0.3999999999999986,-2.799999999999997,2.3999999999999986,1,6,0,-3.0,145.0,-161.0
2019_06_WAS_MIA,2019-10-13,MIA,WAS,0,-1.0,6.5,40.75,-34.25,14.6,30.2,-15.6,-8.1,10.55,-18.65,1,6,0,-6.0,210.0,-240.0
2019_06_NO_JAX,2019-10-13,JAX,NO,0,-7.0,22.2,23.6,-1.4000000000000021,23.0,23.2,-0.1999999999999993,-0.8000000000000007,0.40000000000000213,-1.2000000000000028,1,6,0,2.5,-139.0,126.0
2019_06_HOU_KC,2019-10-13,KC,HOU,0,-7.0,29.6,22.6,7.0,26.2,22.0,4.199999999999999,3.400000000000002,0.6000000000000014,2.8000000000000007,1,6,0,3.5,-186.0,166.0
2019_06_SEA_CLE,2019-10-13,CLE,SEA,0,-4.0,18.4,24.4,-6.0,26.6,23.6,3.0,-8.200000000000003,0.7999999999999972,-9.0,1,6,0,1.0,-113.0,102.0
2019_06_CIN_BAL,2019-10-13,BAL,CIN,1,6.0,32.2,24.6,7.600000000000001,16.0,27.2,-11.2,16.200000000000003,-2.599999999999998,18.8,1,6,1,10.5,-531.0,425.0
2019_06_CAR_TB,2019-10-13,TB,CAR,0,-11.0,29.4,29.6,-0.20000000000000284,25.8,21.4,4.400000000000002,3.599999999999998,8.200000000000003,-4.600000000000005,1,6,1,-2.0,113.0,-125.0
2019_06_PHI_MIN,2019-10-13,MIN,PHI,1,18.0,22.4,14.6,7.799999999999999,28.2,22.2,6.0,-5.800000000000001,-7.6,1.799999999999999,1,6,0,3.5,-176.0,157.0
2019_06_DET_GB,2019-10-14,GB,DET,1,1.0,23.8,18.6,5.199999999999999,24.25,23.75,0.5,-0.4499999999999993,-5.149999999999999,4.699999999999999,1,6,1,3.5,-198.0,176.0
2019_07_KC_DEN,2019-10-17,DEN,KC,0,-24.0,18.0,16.4,1.6000000000000014,26.4,23.6,2.799999999999997,-8.399999999999999,-7.200000000000003,-1.1999999999999957,1,7,1,-3.0,134.0,-149.0
2019_07_PHI_DAL,2019-10-20,DAL,PHI,1,27.0,23.6,19.4,4.200000000000003,25.8,24.4,1.4000000000000021,-2.1999999999999993,-5.0,2.8000000000000007,1,7,1,3.0,-165.0,148.0
2019_07_BAL_SEA,2019-10-20,SEA,BAL,0,-14.0,28.8,25.2,3.6000000000000014,25.0,26.0,-1.0,3.8000000000000007,-0.8000000000000007,4.600000000000001,1,7,0,3.0,-157.0,141.0
2019_07_NO_CHI,2019-10-20,CHI,NO,0,-11.0,17.4,13.8,3.599999999999998,19.6,18.8,0.8000000000000007,-2.200000000000003,-5.0,2.799999999999997,1,7,0,4.0,-213.0,188.0
2019_07_LAC_TEN,2019-10-20,TEN,LAC,1,3.0,11.0,15.8,-4.800000000000001,18.0,18.8,-0.8000000000000007,-7.0,-3.0,-4.0,1,7,0,3.0,-157.0,141.0
2019_07_SF_WAS,2019-10-20,WAS,SF,0,-9.0,12.6,27.0,-14.4,29.4,12.8,16.599999999999998,-16.799999999999997,14.2,-31.0,1,7,0,-10.0,350.0,-424.0
2019_07_ARI_NYG,2019-10-20,NYG,ARI,0,-6.0,18.8,25.0,-6.199999999999999,21.4,28.8,-7.400000000000002,-2.599999999999998,-3.8000000000000007,1.2000000000000028,1,7,0,3.5,-188.0,168.0
2019_07_OAK_GB,2019-10-20,GB,OAK,1,18.0,26.4,22.4,4.0,20.6,24.6,-4.0,5.799999999999997,-2.200000000000003,8.0,1,7,0,5.5,-241.0,211.0
2019_07_MIN_DET,2019-10-20,DET,MIN,0,-12.0,23.8,23.6,0.1999999999999993,24.4,16.2,8.2,-0.5999999999999979,7.400000000000002,-8.0,1,7,1,-2.5,124.0,-137.0
2019_07_JAX_CIN,2019-10-20,CIN,JAX,0,-10.0,15.4,27.6,-12.200000000000001,18.2,18.2,0.0,-2.799999999999999,9.400000000000002,-12.200000000000001,1,7,0,-4.0,189.0,-214.0
2019_07_MIA_BUF,2019-10-20,BUF,MIA,1,10.0,18.0,14.0,4.0,8.4,36.0,-27.6,9.6,-22.0,31.6,1,7,1,17.0,-1137.0,793.0
2019_07_LA_ATL,2019-10-20,ATL,LA,0,-27.0,24.6,31.6,-7.0,24.6,25.4,-0.7999999999999972,0.0,6.200000000000003,-6.200000000000003,1,7,0,-3.0,139.0,-154.0
2019_07_HOU_IND,2019-10-20,IND,HOU,1,7.0,22.6,23.0,-0.3999999999999986,26.8,20.8,6.0,-4.199999999999999,2.1999999999999993,-6.399999999999999,1,7,1,1.5,-120.0,109.0
2019_07_NE_NYJ,2019-10-21,NYJ,NE,0,-33.0,12.6,24.6,-12.000000000000002,31.4,9.0,22.4,-18.799999999999997,15.600000000000001,-34.4,1,7,1,-9.5,311.0,-371.0
2019_08_WAS_MIN,2019-10-24,MIN,WAS,1,10.0,29.6,18.0,11.600000000000001,8.4,22.6,-14.200000000000001,21.200000000000003,-4.600000000000001,25.800000000000004,1,8,0,16.5,-1023.0,729.0
2019_08_CAR_SF,2019-10-27,SF,CAR,1,38.0,25.0,9.4,15.6,27.8,20.6,7.199999999999999,-2.8000000000000007,-11.200000000000001,8.4,1,8,0,4.5,-208.0,184.0
2019_08_OAK_HOU,2019-10-27,HOU,OAK,1,3.0,28.8,24.4,4.400000000000002,20.6,29.8,-9.2,8.2,-5.400000000000002,13.600000000000001,1,8,0,5.0,-236.0,207.0
2019_08_TB_TEN,2019-10-27,TEN,TB,1,4.0,12.2,16.0,-3.8000000000000007,31.2,30.8,0.3999999999999986,-19.0,-14.8,-4.199999999999999,1,8,0,2.0,-122.0,110.0
2019_08_GB_KC,2019-10-27,KC,GB,0,-7.0,26.8,22.8,4.0,30.6,24.0,6.600000000000001,-3.8000000000000007,-1.1999999999999993,-2.6000000000000014,1,8,0,-5.0,202.0,-230.0
2019_08_CLE_NE,2019-10-27,NE,CLE,1,14.0,29.4,9.0,20.4,21.4,22.2,-0.8000000000000007,8.0,-13.2,21.2,1,8,0,9.5,-367.0,309.0
2019_08_ARI_NO,2019-10-27,NO,ARI,1,22.0,25.0,18.4,6.600000000000001,23.4,28.4,-5.0,1.6000000000000014,-10.0,11.600000000000001,1,8,0,12.5,-625.0,467.0
2019_08_SEA_ATL,2019-10-27,ATL,SEA,0,-7.0,21.8,35.0,-13.2,26.4,26.0,0.3999999999999986,-4.599999999999998,9.0,-13.599999999999998,1,8,0,-7.5,275.0,-323.0
2019_08_NYJ_JAX,2019-10-27,JAX,NYJ,1,14.0,21.2,19.0,2.1999999999999993,9.4,27.8,-18.4,11.799999999999999,-8.8,20.599999999999998,1,8,0,7.0,-295.0,254.0
2019_08_DEN_IND,2019-10-27,IND,DEN,1,2.0,23.8,21.6,2.1999999999999993,16.4,19.2,-2.8000000000000007,7.400000000000002,2.400000000000002,5.0,1,8,0,6.0,-238.0,209.0
2019_08_NYG_DET,2019-10-27,DET,NYG,1,5.0,24.4,26.6,-2.200000000000003,20.2,24.8,-4.600000000000001,4.199999999999999,1.8000000000000007,2.3999999999999986,1,8,0,6.5,-267.0,232.0
2019_08_LAC_CHI,2019-10-27,CHI,LAC,0,-1.0,21.8,19.0,2.8000000000000007,20.0,20.8,-0.8000000000000007,1.8000000000000007,-1.8000000000000007,3.6000000000000014,1,8,0,3.5,-182.0,163.0
2019_08_PHI_BUF,2019-10-27,BUF,PHI,0,-18.0,20.8,15.0,5.800000000000001,23.8,27.0,-3.1999999999999993,-3.0,-12.0,9.0,1,8,0,1.0,-122.0,111.0
2019_08_CIN_LA,2019-10-27,LA,CIN,1,14.0,26.6,25.6,1.0,15.4,24.8,-9.4,11.200000000000001,0.8000000000000007,10.4,1,8,0,12.0,-594.0,467.0
2019_08_MIA_PIT,2019-10-28,PIT,MIA,1,13.0,24.0,19.6,4.399999999999999,10.6,30.4,-19.799999999999997,13.4,-10.799999999999997,24.199999999999996,1,8,0,14.0,-630.0,491.0
2019_09_SF_ARI,2019-10-31,ARI,SF,0,-3.0,21.2,27.0,-5.800000000000001,27.0,8.6,18.4,-5.800000000000001,18.4,-24.2,1,9,1,-10.5,365.0,-445.0
2019_09_NE_BAL,2019-11-03,BAL,NE,1,17.0,26.4,25.8,0.5999999999999979,28.8,8.8,20.0,-2.400000000000002,17.0,-19.400000000000002,1,9,0,-3.0,135.0,-150.0
2019_09_GB_LAC,2019-11-03,LAC,GB,1,15.0,19.4,18.6,0.7999999999999972,31.4,25.6,5.799999999999997,-12.0,-7.0,-5.0,1,9,0,-4.0,184.0,-208.0
2019_09_CLE_DEN,2019-11-03,DEN,CLE,1,5.0,15.8,16.8,-1.0,19.4,27.0,-7.600000000000001,-3.599999999999998,-10.2,6.600000000000001,1,9,0,-4.0,173.0,-194.0
2019_09_TB_SEA,2019-11-03,SEA,TB,1,6.0,26.4,23.4,3.0,31.8,33.4,-1.5999999999999979,-5.400000000000002,-10.0,4.599999999999998,1,9,0,4.0,-209.0,185.0
2019_09_DET_OAK,2019-11-03,OAK,DET,1,7.0,23.4,29.6,-6.200000000000003,28.0,29.8,-1.8000000000000007,-4.600000000000001,-0.1999999999999993,-4.400000000000002,1,9,0,2.5,-143.0,129.0
2019_09_IND_PIT,2019-11-03,PIT,IND,1,2.0,24.2,16.8,7.399999999999999,23.0,20.8,2.1999999999999993,1.1999999999999993,-4.0,5.199999999999999,1,9,0,1.0,-117.0,107.0
2019_09_CHI_PHI,2019-11-03,PHI,CHI,1,8.0,25.2,24.2,1.0,21.8,19.6,2.1999999999999993,3.3999999999999986,4.599999999999998,-1.1999999999999993,1,9,0,5.0,-226.0,199.0
2019_09_NYJ_MIA,2019-11-03,MIA,NYJ,1,8.0,13.4,27.2,-13.799999999999999,11.8,29.0,-17.2,1.5999999999999996,-1.8000000000000007,3.4000000000000004,1,9,1,-3.5,167.0,-187.0
2019_09_MIN_KC,2019-11-03,KC,MIN,1,3.0,25.0,23.4,1.6000000000000014,26.6,17.0,9.600000000000001,-1.6000000000000014,6.399999999999999,-8.0,1,9,0,-5.5,198.0,-225.0
2019_09_TEN_CAR,2019-11-03,CAR,TEN,1,10.0,27.6,26.8,0.8000000000000007,16.2,16.6,-0.40000000000000213,11.400000000000002,10.2,1.2000000000000028,1,9,0,3.5,-179.0,160.0
2019_09_WAS_BUF,2019-11-03,BUF,WAS,1,15.0,17.8,18.4,-0.5999999999999979,7.2,20.2,-13.0,10.600000000000001,-1.8000000000000007,12.400000000000002,1,9,0,10.5,-449.0,368.0
2019_09_HOU_JAX,2019-11-03,JAX,HOU,0,-23.0,23.0,20.6,2.3999999999999986,28.8,25.2,3.6000000000000014,-5.800000000000001,-4.599999999999998,-1.2000000000000028,1,9,1,1.0,-113.0,103.0
2019_09_DAL_NYG,2019-11-04,NYG,DAL,0,-19.0,19.0,24.8,-5.800000000000001,24.8,17.2,7.600000000000001,-5.800000000000001,7.600000000000001,-13.400000000000002,1,9,1,-6.5,255.0,-297.0
